	cluster_0	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	cluster_12	cluster_13	cluster_14	cluster_15	cluster_16	cluster_17	cluster_18	cluster_19	cluster_20	cluster_21	cluster_22	cluster_23	cluster_24	cluster_25	cluster_26	cluster_27	cluster_28
MMS22L	9.272555758650517	4.93286003571333	0.0	2.654106962870096	12.3536008233851	6.12301590131527	7.11599387179143	0.0	0.0	7.973068175044833	0.6418232936421333	2.128961832293199	2.4462294946255554	0.0	2.5112295224570156	30.4488706191091	30.0889310688449	2.4166152120365822	10.092594095222308	0.0	2.872316314200082	23.4999931877714	0.0	6.746989474958106	5.951837819215892	2.894190140108855	6.24110583443068	11.137924043961455	3.152372626918172
NDUFAF4	66.0672035420379	35.26027218456967	36.5234277747435	55.29800353234323	40.5796304345114	84.5161651831264	40.3688332815179	15.6350130444562	26.1158504751631	37.60806885757978	38.09701976680252	73.4508838056221	41.492121877633465	79.4644135468257	43.040700400369005	0.0	47.0541242445485	35.450012284447595	42.44032070460197	40.3730204460284	23.92121610690201	33.2303746618912	35.6803453055248	53.359698884864315	53.0798276648184	71.6461639174465	69.7782610129726	48.40183212140386	69.32073958392662
UFL1	14.890072537583897	25.929658290735013	10.9268213140443	17.196975327498883	34.0539554375715	3.55816505001374	11.7682222719686	0.0	44.4578103514027	10.279889001947877	9.096237674556631	9.718007880523754	17.81825192019571	0.0	10.899155989210673	13.9248737050527	0.0	14.534308442750106	17.655431809735692	2.41701141243698	24.201876537631488	67.4918238724112	1.49922782272762	17.08885956895377	11.399983965888833	5.387122407293575	14.8907812527482	7.807379051795011	9.173365821069437
MANEA	1.2543615385561706	2.218682067580313	0.0	2.4002668227649817	0.0	0.0	0.0	29.6388783341333	0.0	0.2649807659378364	1.1394569367536822	3.3270403880178514	4.381017450179808	5.9536989123429	1.5761315491376255	0.0	0.0	2.371357582524903	1.2468549584018764	0.0	5.782200354919349	0.0	0.0	4.510158091044128	0.904145037794433	3.022894035044905	0.0	2.5172023266533934	0.0
MAP3K7	5.337423912596536	5.8103029101175	0.0	8.983858192868682	0.0	0.0	0.0	14.8048773520939	5.06426493036033	0.7541492550927781	2.6829491697758097	5.898710259101129	2.0781581323796234	3.79468357362994	2.4299868087192618	24.3287814183157	0.0	8.896133677273877	13.238101184622892	102.764223530388	8.082798201829657	23.1330875680912	0.0	2.5306248255723456	9.333060400530682	3.657421482167045	7.41997553296682	1.461441115723894	5.9035873572791715
BACH2	23.583326127425053	22.95303837943883	16.9798375386015	29.51241990850122	20.3184954884377	6.87814626913712	54.1237646168546	30.1436203288302	16.7688936661884	7.954681960053242	16.531725128748086	7.249639810786809	13.778583685817313	23.8454769447076	11.050504394996787	31.2083099439867	14.0243154307418	22.959917521596836	17.334628776378715	28.5803112787309	24.852422624830208	2.86534237365161	13.8170180620749	17.060420101780387	15.64641247307056	20.775204531179398	38.0038785214716	10.901477276744442	15.519997434078398
CASP8AP2	86.24211941019627	59.34017717679511	91.9709728112156	43.885042777515686	43.3472372605954	47.7269586791459	52.9040031881174	0.0	20.768172051972	44.98297963674429	39.83876787129132	43.77659187465924	43.8859824164485	21.0670751269618	51.70887012692496	27.7952717575731	0.0	42.988181669950976	64.27893236120313	49.9751505981426	59.14129739650115	113.136317614016	27.0239208454095	27.918662894991193	34.09989905926939	16.88972660682835	30.688534829561	44.7385806841469	17.57635811243797
MDN1	6.979744589373503	8.485625972884256	0.0	9.14003008728003	10.6576154430675	14.7094292404504	20.1142020914472	0.0	12.4382569416247	5.452283440424367	11.688564933415815	8.66829888610336	4.144648219463983	19.5840153012794	3.7974735233709827	0.0	0.0	5.924142755219548	12.057021169783352	0.0	3.3183858302371814	3.35662521507604	0.0	11.911142586055693	10.429424490417707	8.43678560172392	15.2209532304071	3.2294600475365773	7.132835117649805
LYRM2	24.905275322090844	20.346576745389584	73.239064647318	24.199030300268895	9.19932118580402	22.2529049047651	0.0	58.1924705761868	0.0	29.5362775061657	37.78720254457502	31.183382323494534	32.07083807634923	0.0	28.09608068606274	41.5857653029784	0.0	45.33446943664053	35.099289022104905	13.5744629831912	68.30969971428327	167.660611801042	34.5230775246253	40.04928562306715	41.11562669790949	14.223952404632751	0.0	31.325444887985793	24.998795058813982
RRAGD	6.812342631543793	1.8875877946376227	0.0	3.8016352740184294	0.0	0.0	0.0	58.1528738594452	45.5492054139217	3.3932660243115094	0.0	0.027629790070621222	1.4755562511213054	0.0	1.1674401240506005	17.1142005336691	0.0	2.81405964143517	18.353027564651878	0.0	4.519157365993612	13.1786894912838	4.49398132939932	0.8508289421656628	2.1135058702629506	0.0	0.0	3.690413748279635	0.22634598562773045
