,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id
HIBDm_pos,128.0,0.3261094520204889,0.473889709791019,0.8163976175996286,HIBDm
HISCAT1_neg,105.0,0.9825901131969854,0.22697926583943365,0.9825901131969854,HISCAT1
HISCAT1_pos,143.0,0.10170693003109327,0.5387536590729524,0.768566514999994,HISCAT1
HISDC_pos,108.0,0.9131160800723744,0.1486657433756121,0.9521279145622893,HISDC
HISD_pos,132.0,0.24745429076477554,0.3721277511080122,0.7951176781692563,HISD
HISSNAT5tc_neg,89.0,0.498738821650313,-0.32128800476617714,0.8325568463681905,HISSNAT5tc
HISSNAT5tc_pos,91.0,0.5557349624423149,-0.12363867591412946,0.8325568463681905,HISSNAT5tc
HISTAVESSEC_pos,152.0,0.04241488053789996,0.7325987417043225,0.768566514999994,HISTAVESSEC
HISTAtu_neg,111.5,0.7934033789435186,0.22935830540124855,0.898485248688038,HISTAtu
HISTAtu_pos,105.0,0.9825901131969854,0.1295050474151882,0.9825901131969854,HISTAtu
HISt4_pos,123.0,0.445008718746736,-0.07753655376839473,0.8325568463681905,HISt4
HIStN1_neg,89.0,0.498738821650313,-0.11422364892904996,0.8325568463681905,HIStN1
HIStN1_pos,105.0,0.9825901131969854,0.0877668521832809,0.9825901131969854,HIStN1
HIStiDF_pos,132.0,0.24745429076477554,0.13667857936304073,0.7951176781692563,HIStiDF
HISyLATtc_pos,133.0,0.23006229802639666,0.48057031953215823,0.7782776624684794,HISyLATtc
HISyLATthc_pos,95.0,0.6784245040488326,0.2753034282847008,0.877653145977064,HISyLATthc
HIVCACBP_pos,115.0,0.6784245040488326,0.2685925613999449,0.877653145977064,HIVCACBP
HIVCRNe_pos,115.0,0.6784245040488326,0.2685925613999449,0.877653145977064,HIVCRNe
HKYNH_pos,97.0,0.7434206976952524,0.1300003127534326,0.8802990064584605,HKYNH
HKt_pos,119.0,0.5557349624423149,0.4717775886075109,0.8325568463681905,HKt
HMBS_pos,111.0,0.810299496070296,0.320315514787709,0.9014334247236789,HMBS
HMGCOARc_pos,123.0,0.445008718746736,0.3125042525649292,0.8325568463681905,HMGCOARc
HMGCOASi_pos,110.0,0.8443001476220315,0.19990044196776136,0.9234532864615971,HMGCOASi
HMGCOASim_pos,103.0,0.9478034802354203,0.04368041324301461,0.9736346023382724,HMGCOASim
HMGCOAtm_neg,109.0,0.8785934392551416,0.25553412898231914,0.9344865934304979,HMGCOAtm
HMGCOAtm_pos,141.0,0.12129832212514398,0.7851610211929376,0.768566514999994,HMGCOAtm
HMGCOAtx_neg,126.0,0.37095103453309664,0.6195162972683751,0.8163976175996286,HMGCOAtx
HMGCOAtx_pos,110.0,0.8443001476220315,0.2153757451945763,0.9234532864615971,HMGCOAtx
HMGLm_pos,104.0,0.9825901131969854,0.1505679802068467,0.9825901131969854,HMGLm
HMGLx_pos,109.0,0.8785934392551416,0.40357773095357596,0.9344865934304979,HMGLx
HOCDACBP_pos,115.0,0.6784245040488326,0.238656147893311,0.877653145977064,HOCDACBP
HOCTDACBP_pos,120.0,0.5268434347302196,0.3415191102836711,0.8325568463681905,HOCTDACBP
HOCTDEC2CRNe_pos,121.0,0.498738821650313,0.33987103844106475,0.8325568463681905,HOCTDEC2CRNe
HOCTDECCRNe_pos,115.0,0.6784245040488326,0.23865614789331127,0.877653145977064,HOCTDECCRNe
HOMt4_pos,123.0,0.445008718746736,0.2942907140058973,0.8325568463681905,HOMt4
HOXG_pos,111.0,0.810299496070296,0.32074106209163006,0.9014334247236789,HOXG
HPACtr_pos,110.0,0.8443001476220315,0.37329749923585137,0.9234532864615971,HPACtr
HPCLx_pos,117.0,0.615737058040257,0.5101283104877998,0.8475032540441739,HPCLx
HPDCACRNCPT1_pos,116.0,0.6467674040054682,0.31623571562163083,0.866801675471246,HPDCACRNCPT1
HPDCACRNCPT2_pos,116.0,0.6467674040054682,0.31623571562163083,0.866801675471246,HPDCACRNCPT2
HPDCACRNt_pos,116.0,0.6467674040054682,0.31623571562163083,0.866801675471246,HPDCACRNt
HPDCAt_pos,116.0,0.6467674040054682,0.31623571562164243,0.866801675471246,HPDCAt
HPETFABP1tc_pos,127.0,0.3480712878701422,0.7175576521778513,0.8163976175996286,HPETFABP1tc
HPYRDC_pos,144.0,0.09290328709689505,0.6401472584739671,0.768566514999994,HPYRDC
HPYRR2x_pos,109.0,0.8785934392551416,0.3030771350642391,0.9344865934304979,HPYRR2x
HPYRRy_pos,128.0,0.3261094520204889,0.46150326722456164,0.8163976175996286,HPYRRy
HPYRtp_neg,139.0,0.1437248058279078,0.3760134203070098,0.768566514999994,HPYRtp
HRETNtn_pos,109.0,0.8785934392551416,0.37300564886866094,0.9344865934304979,HRETNtn
HS1ly_pos,113.0,0.7434206976952524,0.41625030569484545,0.8802990064584605,HS1ly
HS2ly_pos,113.0,0.7434206976952524,0.4162503056948449,0.8802990064584605,HS2ly
HS3ly_pos,113.0,0.7434206976952524,0.41625030569484545,0.8802990064584605,HS3ly
HS4ly_pos,113.0,0.7434206976952524,0.41625030569484545,0.8802990064584605,HS4ly
HSAT1ly_pos,113.0,0.7434206976952524,0.41625030569484545,0.8802990064584605,HSAT1ly
HSAT2ly_pos,113.0,0.7434206976952524,0.4162503056948449,0.8802990064584605,HSAT2ly
HSAT3ly_pos,113.0,0.7434206976952524,0.4162503056948451,0.8802990064584605,HSAT3ly
HSAT4ly_pos,113.0,0.7434206976952524,0.41625030569484545,0.8802990064584605,HSAT4ly
HSD11B1r_neg,120.5,0.5126388322962911,0.3055418234609123,0.8325568463681905,HSD11B1r
HSD11B1r_pos,120.5,0.5126388322962911,0.3055418234609123,0.8325568463681905,HSD11B1r
HSD11B2r_neg,120.5,0.5126388322962911,0.3055418234609123,0.8325568463681905,HSD11B2r
HSD11B2r_pos,120.5,0.5126388322962911,0.3055418234609123,0.8325568463681905,HSD11B2r
HSD17B1_neg,108.5,0.8953807626689909,0.17438297212188644,0.9515474571574027,HSD17B1
HSD17B1_pos,111.0,0.810299496070296,0.36376321788836447,0.9014334247236789,HSD17B1
HSD17B2r_pos,112.0,0.7766531265771661,0.372457204268931,0.8802990064584605,HSD17B2r
HSD17B3r_pos,112.0,0.7766531265771661,0.37139548810007744,0.8802990064584605,HSD17B3r
HSD17B42x_pos,107.0,0.9478034802354203,0.32635198816307565,0.9736346023382724,HSD17B42x
HSD17B4x_pos,116.0,0.6467674040054682,0.37495603409877354,0.866801675471246,HSD17B4x
HSD17B7r_pos,108.5,0.8953807626689909,0.17438297212188644,0.9515474571574027,HSD17B7r
HSD17B8r_pos,90.0,0.5268434347302196,0.046917685843054904,0.8325568463681905,HSD17B8r
HSD17B9r_pos,108.0,0.9131160800723744,0.335035377593757,0.9521279145622893,HSD17B9r
HSD3A1r_neg,106.5,0.9651842293152645,-0.013389388128254671,0.9825901131969854,HSD3A1r
HSD3A1r_pos,106.5,0.9651842293152645,-0.013389388128254671,0.9825901131969854,HSD3A1r
HSD3A2r_neg,106.5,0.9651842293152645,-0.013389388128254671,0.9825901131969854,HSD3A2r
HSD3A2r_pos,106.5,0.9651842293152645,-0.013389388128254671,0.9825901131969854,HSD3A2r
HSD3B11_pos,112.0,0.7766531265771661,0.37174494758227383,0.8802990064584605,HSD3B11
HSD3B11r_pos,112.0,0.7766531265771661,0.3687374720215419,0.8802990064584605,HSD3B11r
HSD3B12r_pos,112.0,0.7766531265771661,0.37245720426893486,0.8802990064584605,HSD3B12r
HSD3B13r_pos,112.0,0.7766531265771661,0.3687374720215463,0.8802990064584605,HSD3B13r
HSD3B2r_pos,108.0,0.9131160800723744,0.3350353775937624,0.9521279145622893,HSD3B2r
HSD3B3r_pos,108.0,0.9131160800723744,0.3353774634168445,0.9521279145622893,HSD3B3r
HSD3B7P_pos,106.5,0.9651842293152645,-0.013389388128254671,0.9825901131969854,HSD3B7P
HSPASEly_pos,113.0,0.7434206976952524,0.4162503056948567,0.8802990064584605,HSPASEly
HSPGtly_pos,113.0,0.7434206976952524,0.4162503056948567,0.8802990064584605,HSPGtly
HTAXOLte_neg,136.0,0.18314652532853137,0.46592661742798613,0.768566514999994,HTAXOLte
HTDCACBP_pos,120.0,0.5268434347302196,0.34482952503436715,0.8325568463681905,HTDCACBP
HTDCRNe_pos,120.0,0.5268434347302196,0.3448295250343671,0.8325568463681905,HTDCRNe
HXANtx_pos,107.0,0.9478034802354203,0.3535165314348385,0.9736346023382724,HXANtx
HXPRT_pos,131.0,0.2657465520914202,0.4579394284140595,0.7951176781692563,HXPRT
HYPOE_pos,127.0,0.3480712878701422,0.5339261988391231,0.8163976175996286,HYPOE
HYPTROX_pos,110.0,0.8443001476220315,0.33009431844382675,0.9234532864615971,HYPTROX
HYPTROXe_pos,125.0,0.3947417052130072,0.5475187521689912,0.8163976175996286,HYPTROXe
HYXNt_neg,121.0,0.498738821650313,0.3889919886626258,0.8325568463681905,HYXNt
HYXNt_pos,134.0,0.21355772865776912,0.5530324649347743,0.768566514999994,HYXNt
Htg_pos,102.0,0.9131160800723744,-0.24117081817658464,0.9521279145622893,Htg
Htm_pos,122.0,0.4714517068389269,0.4675819464691965,0.8325568463681905,Htm
Htr_neg,124.0,0.4194324996066613,0.6856064871995544,0.8292318505569312,Htr
Htr_pos,109.0,0.8785934392551416,0.274185280949304,0.9344865934304979,Htr
Htx_neg,119.5,0.5406939370218564,0.3535646574005606,0.8325568463681905,Htx
Htx_pos,118.0,0.5853789284609614,0.3544214275235182,0.8426810789370224,Htx
ICDHxm_pos,115.0,0.6784245040488326,0.7568855144962112,0.877653145977064,ICDHxm
ICDHy_pos,114.0,0.7106595685403921,0.4621645050371647,0.8802990064584605,ICDHy
ICDHyp_pos,107.0,0.9478034802354203,0.3269235449608126,0.9736346023382724,ICDHyp
ICDHyrm_neg,108.0,0.9131160800723744,0.6895451555909827,0.9521279145622893,ICDHyrm
ICDHyrm_pos,131.0,0.2657465520914202,0.6041331368409735,0.7951176781692563,ICDHyrm
IDHPOXOX2b_pos,125.0,0.3947417052130072,0.3419142928315472,0.8163976175996286,IDHPOXOX2b
IDHPOXOX3_pos,122.0,0.4714517068389269,0.35994948895040324,0.8325568463681905,IDHPOXOX3
IDHPOXOX4_pos,125.0,0.3947417052130072,0.34191429283154673,0.8163976175996286,IDHPOXOX4
IDHPOXOXb_pos,122.0,0.4714517068389269,0.35994948895037593,0.8325568463681905,IDHPOXOXb
IDOAASE1ly_pos,113.0,0.7434206976952524,0.41625030569484545,0.8802990064584605,IDOAASE1ly
IDOAASE2ly_pos,113.0,0.7434206976952524,0.41625030569484545,0.8802990064584605,IDOAASE2ly
IDOAASE3ly_pos,113.0,0.7434206976952524,0.41625030569484545,0.8802990064584605,IDOAASE3ly
IDOAASE4ly_pos,118.0,0.5853789284609614,0.5026367177995401,0.8426810789370224,IDOAASE4ly
IDOURte_neg,115.0,0.6784245040488326,0.4410656904344899,0.877653145977064,IDOURte
IDOURtly_neg,115.0,0.6784245040488326,0.4410656904344894,0.877653145977064,IDOURtly
IDPtn_neg,89.0,0.498738821650313,-0.34320577732772983,0.8325568463681905,IDPtn
IDPtn_pos,89.0,0.498738821650313,-0.34320577732772983,0.8325568463681905,IDPtn
ILEATB0tc_pos,102.0,0.9131160800723744,0.0359743200849488,0.9521279145622893,ILEATB0tc
ILELAT1tc_pos,139.0,0.1437248058279078,0.44397109893388037,0.768566514999994,ILELAT1tc
ILEPHELAT2tc_pos,139.0,0.1437248058279078,0.44215658677230224,0.768566514999994,ILEPHELAT2tc
ILETA_neg,113.0,0.7434206976952524,0.2787548977261849,0.8802990064584605,ILETA
ILETA_pos,129.0,0.3050688106228865,0.36070479118351867,0.8147959428376464,ILETA
ILETAm_neg,129.0,0.3050688106228865,0.36078725142503526,0.8147959428376464,ILETAm
ILETAm_pos,129.0,0.3050688106228865,0.4892485563128774,0.8147959428376464,ILETAm
ILEt4_pos,85.0,0.3947417052130072,-0.3225976886382518,0.8163976175996286,ILEt4
ILEt5m_neg,129.0,0.3050688106228865,0.360787251425035,0.8147959428376464,ILEt5m
ILEt5m_pos,129.0,0.3050688106228865,0.48924855631287745,0.8147959428376464,ILEt5m
ILEtec_neg,83.0,0.3480712878701422,-0.4203663468185922,0.8163976175996286,ILEtec
ILEtec_pos,91.0,0.5557349624423149,-0.23941900937405441,0.8325568463681905,ILEtec
IMPC_neg,118.0,0.5853789284609614,0.3731828924817272,0.8426810789370224,IMPC
IMPC_pos,126.0,0.37095103453309664,0.5637933320750471,0.8163976175996286,IMPC
IMPD_pos,130.0,0.28494907768465494,0.558572091632295,0.8085192092878628,IMPD
INOSTO_pos,110.0,0.8443001476220315,0.3337638443730454,0.9234532864615971,INOSTO
INSK_pos,111.0,0.810299496070296,0.2682518751280023,0.9014334247236789,INSK
INSTt2r_neg,116.0,0.6467674040054682,0.2839301102736179,0.866801675471246,INSTt2r
INSTt2r_pos,116.0,0.6467674040054682,0.35545491594713796,0.866801675471246,INSTt2r
INSTt4_2_neg,142.0,0.11116230009522643,0.4630045094392963,0.768566514999994,INSTt4_2
INSTt4_2_pos,148.0,0.0636173544421638,0.4891735709370245,0.768566514999994,INSTt4_2
INSTt4_neg,147.0,0.07010858465571475,0.49203375308525804,0.768566514999994,INSTt4
INSTt4_pos,144.0,0.09290328709689505,0.4490470135632485,0.768566514999994,INSTt4
INSt4_pos,147.0,0.07010858465571475,0.48003234750064205,0.768566514999994,INSt4
INSt5le_pos,156.0,0.02752429546398351,0.7358609887453482,0.768566514999994,INSt5le
INSt_neg,135.0,0.1979251021111571,0.4977366833331131,0.768566514999994,INSt
INSt_pos,119.0,0.5555401570777325,0.6267063086151599,0.8325568463681905,INSt
IPDDI_pos,112.0,0.7766531265771661,0.3680717433065,0.8802990064584605,IPDDI
IPDDIx_pos,112.0,0.7766531265771661,0.3719507497162828,0.8802990064584605,IPDDIx
IPDPtx_neg,112.0,0.7766531265771661,0.37195074971628755,0.8802990064584605,IPDPtx
IPDPtx_pos,113.0,0.7434206976952524,0.42666879285761794,0.8802990064584605,IPDPtx
ITCOAL1m_neg,125.0,0.3947417052130072,0.1872832716860238,0.8163976175996286,ITCOAL1m
ITCOAL1m_pos,125.0,0.3947417052130072,0.18728327168602396,0.8163976175996286,ITCOAL1m
ITCOALm_neg,125.0,0.3947417052130072,0.18728327168602396,0.8163976175996286,ITCOALm
ITCOALm_pos,125.0,0.3947417052130072,0.1872832716860238,0.8163976175996286,ITCOALm
ITPtn_neg,89.0,0.498738821650313,-0.34320577732772983,0.8325568463681905,ITPtn
ITPtn_pos,89.0,0.498738821650313,-0.34320577732772983,0.8325568463681905,ITPtn
IVCOAACBP_pos,115.0,0.6784245040488326,0.1967871339997127,0.877653145977064,IVCOAACBP
IVCRNe_pos,115.0,0.6784245040488326,0.1967871339997127,0.877653145977064,IVCRNe
IZPN_pos,132.0,0.24745429076477554,0.37212775110801194,0.7951176781692563,IZPN
It_neg,144.0,0.09290328709689505,0.37680932971362324,0.768566514999994,It
It_pos,78.0,0.24687147045932722,-0.23280423386235663,0.7951176781692563,It
KAS8_pos,121.0,0.498738821650313,0.5473483891491946,0.8325568463681905,KAS8
